Name,Category,Website,LinkedIn,Priority Score,Missing Funding,Missing Revenue,Missing Employees
"MarineAI Technologies","Start-ups & Scale-ups","https://www.marineai.com","https://www.linkedin.com/company/marineaitechnologies",25,true,true,true
"Nirvanic Consciousness Technologies","Start-ups & Scale-ups","https://www.nirvanic.com","https://www.linkedin.com/company/nirvanicconsciousnesstechnologies",25,true,true,true
"Echosec Systems","Start-ups & Scale-ups","https://www.echosec.com","https://www.linkedin.com/company/echosecsystems",25,true,true,true
"Audette.io","Start-ups & Scale-ups","https://audette.io","https://www.linkedin.com/company/audetteio",25,true,true,true
"Lila Sciences","Start-ups & Scale-ups","https://www.lilasciences.com","https://www.linkedin.com/company/lilasciences",25,true,true,true
"Defang Software Labs","Start-ups & Scale-ups","https://www.defang.com","https://www.linkedin.com/company/defangsoftwarelabs",25,true,true,true
"Hugo Inc","Start-ups & Scale-ups","https://www.hugo.com","https://www.linkedin.com/company/hugoinc",25,true,true,true
"Kanooq Industries Inc.","Start-ups & Scale-ups","https://www.kanooq.com","https://www.linkedin.com/company/kanooq-industries",25,true,true,true
"AIEX","Start-ups & Scale-ups","https://aiex.ai","https://www.linkedin.com/company/aiex-ai",25,true,true,true
"Kindred","Start-ups & Scale-ups","https://www.kindred.com","https://www.linkedin.com/company/kindred-ai",25,true,true,true
"Build Smartr Robotics","Start-ups & Scale-ups","https://www.build.com","https://www.linkedin.com/company/build-smartr-robotics",25,true,true,true
"Aqua Intelligent","Start-ups & Scale-ups","https://aquaintelligent.com","https://www.linkedin.com/company/aqua-intelligent",25,true,true,true
"Arrowsmith Genetics","Start-ups & Scale-ups","https://www.arrowsmithgenetics.com","https://www.linkedin.com/company/arrowsmithgenetics",25,true,true,true
"SmartParent Mobile Health Inc","Start-ups & Scale-ups","https://www.smartparent.com","https://www.linkedin.com/company/smartparent-mobile-health",25,true,true,true
"Amphoraxe Life Sciences Inc","Start-ups & Scale-ups","https://www.amphoraxe.com","https://www.linkedin.com/company/amphoraxe-life-sciences",25,true,true,true
"Nytilus Inc","Start-ups & Scale-ups","https://www.nytilus.com","https://www.linkedin.com/company/nytilus",25,true,true,true
"HomeCourt/NEX Team","Start-ups & Scale-ups","https://homecourt.ai","https://www.linkedin.com/company/homecourtnexteam",25,true,true,true
"Rockburst Technologies","Start-ups & Scale-ups","https://www.rockburst.tech","https://www.linkedin.com/company/rockburst-technologies",25,true,true,true
"Iris Automation","Start-ups & Scale-ups","https://www.iris.io","https://www.linkedin.com/company/iris-automation/",25,true,true,true
"Digitalist North America","Start-ups & Scale-ups","https://digitalist.global","https://www.linkedin.com/company/digitalistnorthamerica",25,true,true,true
"FTSY","Start-ups & Scale-ups","https://www.ftsy.com","https://www.linkedin.com/company/ftsy",25,true,true,true
"Autonopia","Start-ups & Scale-ups","https://www.autonopia.com","https://www.linkedin.com/company/autonopia",25,true,true,true
"MashUp Machine","Start-ups & Scale-ups","https://www.mashup.io","https://www.linkedin.com/company/mashupmachine",25,true,true,true
"Compression.ai","Start-ups & Scale-ups","https://compression.ai","https://www.linkedin.com/company/compressionai",25,true,true,true
"SHADE.ai","Start-ups & Scale-ups","https://www.shade.ai","https://www.linkedin.com/company/shadeai",25,true,true,true
"AntEater","Start-ups & Scale-ups","https://www.anteater.io","https://www.linkedin.com/company/anteater",25,true,true,true
"Growlyn","Start-ups & Scale-ups","https://www.growlyn.com","https://www.linkedin.com/company/growlyn",25,true,true,true
"Lambda Science","Start-ups & Scale-ups","https://www.lambdascience.com","https://www.linkedin.com/company/lambdascience",25,true,true,true
"Sentient","Start-ups & Scale-ups","https://www.sentient.com","https://www.linkedin.com/company/sentient",25,true,true,true
"DeepND","Start-ups & Scale-ups","https://www.deepnd.io","https://www.linkedin.com/company/deepnd",25,true,true,true
